"Cue","Target","Recall_Num"
"Extension","Long",1
"Clue","Game",2
"Cactus","Plant",3
"Shoelace","Tie",4
"Detective","Mystery",5
"Adjourn","End",6
"Furry","Dog",7
"Litter","Trash",8
"Cherry","Red",9
"Scalp","Head",10
"Driver","Car",11
"Chop","Cut",12
"Mule","Donkey",13
"Document","Paper",14
"Incense","Smell",15
"Dine","Eat",16
"Shears","Scissors",17
"Feud","Fight",18
"Chill","Cold",19
"Affection","Love",20
"Turn","Flip",21
"Car","Windshield",22
"Bad","Villain",23
"Bird","Penguin",24
"Star","Actress",25
"Thread","Thimble",26
"Even","Revenge",27
"Pop","Balloon",28
"Fruit","Strawberry",29
"Best","Favorite",30
"Cat","Panther",31
"Glass","Breakable",32
"Dead","Coffin",33
"Plane","Aircraft",34
"Fish","Sardine",35
"Baseball","League",36
"Money","Banker",37
"Honest","Truthful",38
"Sleep","Nap",39
"Fight","Brawl",40
"Razor","Shave",41
"Rights","Equal",42
"Mason","Jar",43
"Candle","Wax",44
"Wrist","Bracelet",45
"Element","Carbon",46
"Gone","Away",47
"Water","Drink",48
"Earth","Ground",49
"Alone","Lonely",50
"Dry","Wet",51
"Safety","Seatbelt",52
"Truth","Lie",53
"Phone","Communication",54
"Rod","Reel",55
"Flea","Tick",56
"Loud","Noise",57
"Own","Have",58
"Tantrum","Temper",59
"Sun","Tan",60
"Justice","Maroon",61
"Stretch","Cloth",62
"Give","Steak",63
"Maze","Election",64
"Vehicle","Charm",65
"Meat","Obtain",66
"Crackle","Able",67
"Shell","Shake",68
"Listen","Fiction",69
"Keys","Joke",70
"Cake","Clothes",71
"Name","Hate",72
"Fuzzy","Bang",73
"Moat","Clear",74
"Lease","Toil",75
"Loan","Sign",76
"Both","Ounce",77
"Temperature","Morning",78
"Mirror","Children",79
"Main","Scar",80
